cluster,states,type
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
2,AK,public_coverage
